SITEID,STARTDATE,ENDDATE,PBM,GOM,GEM,Valid_gem,gemValPct
VT99,2/2/2009 22:00,2/3/2009 1:05,16.564,2.589,1.719,23,65
VT99,2/3/2009 2:05,2/3/2009 4:05,9.521,3.451,1.727,22,100
VT99,2/3/2009 5:05,2/3/2009 7:05,11.228,2.786,1.686,22,100
VT99,2/3/2009 8:05,2/3/2009 10:05,13.135,1.774,1.696,22,100
VT99,2/3/2009 11:05,2/3/2009 13:05,10.908,0.693,1.705,22,100
VT99,2/3/2009 14:05,2/3/2009 16:05,12.842,0.824,1.724,22,100
VT99,2/3/2009 17:05,2/3/2009 19:05,14.464,0.964,1.733,22,100
VT99,2/3/2009 20:05,2/3/2009 22:05,11.868,0.911,1.719,22,100
VT99,2/3/2009 23:00,2/4/2009 2:05,11.162,0.781,1.685,23,65
VT99,2/4/2009 3:05,2/4/2009 5:05,12.871,0.489,1.676,22,100
VT99,2/4/2009 6:05,2/4/2009 8:05,10.091,0.287,1.678,22,100
VT99,2/4/2009 9:05,2/4/2009 11:05,18.551,0.334,1.64,22,100
VT99,2/4/2009 12:05,2/4/2009 14:05,22.577,0.623,1.617,22,100
VT99,2/4/2009 15:05,2/4/2009 17:05,17.11,1.046,1.644,22,100
VT99,2/4/2009 18:05,2/4/2009 20:05,20.466,1.304,1.662,22,100
VT99,2/4/2009 21:05,2/4/2009 23:05,25.116,2.039,1.6,22,100
VT99,2/5/2009 0:00,2/5/2009 3:05,18.494,1.458,1.562,23,65
VT99,2/5/2009 4:05,2/5/2009 6:05,18.65,1.083,1.558,22,100
VT99,2/5/2009 7:05,2/5/2009 9:05,19.941,1.906,1.554,22,100
VT99,2/5/2009 10:05,2/5/2009 12:05,25.064,6.724,1.558,22,100
VT99,2/5/2009 13:05,2/5/2009 15:05,24.376,1.034,1.48,22,100
VT99,2/5/2009 16:05,2/5/2009 18:05,21.75,1.539,1.432,22,100
VT99,2/5/2009 19:05,2/5/2009 21:05,36.95,2.694,1.469,22,100
VT99,2/5/2009 22:05,2/6/2009 0:05,29.048,2.127,1.479,22,100
